iter	Logloss
0	0.6453133774
1	0.6008843338
2	0.5569621035
3	0.5388633356
4	0.5187132905
5	0.4997234939
6	0.4839511364
7	0.470409096
8	0.460041411
9	0.4486110492
10	0.4321320357
11	0.4241898641
12	0.4106104422
13	0.4047235604
14	0.3988192287
15	0.3901210608
16	0.3830798439
17	0.3784808247
18	0.374534343
19	0.3687387763
20	0.3642170543
21	0.3605795762
22	0.35861246
23	0.3560446809
24	0.353588518
25	0.350306823
26	0.3472260531
27	0.3429927696
28	0.3396733764
29	0.3364945331
30	0.3323633885
31	0.3307229106
32	0.326609691
33	0.3238362879
34	0.3205329192
35	0.3185491714
36	0.3140223807
37	0.3115279916
38	0.3096591863
39	0.3077369753
40	0.3050798874
41	0.303010342
42	0.3015994587
43	0.2999909767
44	0.2972988306
45	0.2938461739
46	0.2907896385
47	0.2884431118
48	0.2869545618
49	0.2851850706
50	0.2826803858
51	0.2808293472
52	0.2782882578
53	0.2757402781
54	0.2750528144
55	0.2734721573
56	0.271236534
57	0.2708737022
58	0.2694137163
59	0.2678246906
60	0.2666499225
61	0.2653312519
62	0.2619416103
63	0.2611805717
64	0.2595870582
65	0.2588761783
66	0.2574027551
67	0.2557365643
68	0.2539955316
69	0.2528114181
70	0.2515384974
71	0.249932101
72	0.2474033665
73	0.2456901586
74	0.2444930567
75	0.2436694518
76	0.2410039162
77	0.2396852192
78	0.2381242823
79	0.236396238
80	0.234318192
81	0.2326742559
82	0.2311778653
83	0.2294805761
84	0.2254346748
85	0.2232402607
86	0.2215021319
87	0.2195286007
88	0.2177839248
89	0.2149196422
90	0.2137795495
91	0.2130653565
92	0.2104891692
93	0.2096985107
94	0.2088957877
95	0.2081435533
96	0.2061055154
97	0.2034059775
98	0.2027302614
99	0.2010014515
100	0.1995936042
101	0.1972590627
102	0.1966102211
103	0.1946592613
104	0.1918698206
105	0.1907917795
106	0.1900858758
107	0.1893460095
108	0.188495055
109	0.1863367156
110	0.184251687
111	0.1837441079
112	0.1823641118
113	0.180788563
114	0.1784710623
115	0.1773214791
116	0.1761934509
117	0.1735189527
118	0.1730553549
119	0.1708463156
120	0.1704300649
121	0.1699025016
122	0.1676360704
123	0.1672924837
124	0.166058436
125	0.1643024348
126	0.1631085404
127	0.1613300603
128	0.1606586737
129	0.1603283659
130	0.1582844278
131	0.156390794
132	0.156021534
133	0.1538752855
134	0.1536239775
135	0.1532255991
136	0.152206204
137	0.1508331772
138	0.1504085184
139	0.150046109
140	0.1494802139
141	0.1491376832
142	0.1488857945
143	0.1471272854
144	0.1462148074
145	0.1458996791
146	0.1440691528
147	0.1429570566
148	0.1427177603
149	0.1423612248
150	0.1404456796
151	0.1395407253
152	0.1393380976
153	0.1390493027
154	0.1388582115
155	0.1385444692
156	0.1383635813
157	0.137874363
158	0.1370744515
159	0.1357553585
160	0.1339477995
161	0.1330194951
162	0.1322292326
163	0.1319623622
164	0.1315951614
165	0.1304949845
166	0.1292133256
167	0.1277998024
168	0.1269629847
169	0.1267853835
170	0.1265294689
171	0.1253908546
172	0.1245918803
173	0.1242596321
174	0.12289339
175	0.1227270745
176	0.1219381451
177	0.1217830097
178	0.1215390011
179	0.1204735921
180	0.1202391796
181	0.1200877401
182	0.1194054902
183	0.1181271049
184	0.1178926001
185	0.1172830935
186	0.1171387422
187	0.1148225218
188	0.1146813649
189	0.1144655771
190	0.113283338
191	0.1126290582
192	0.1124966658
193	0.1122792413
194	0.1108180805
195	0.1106887174
196	0.1101074712
197	0.1099843186
198	0.1086883711
199	0.1080285738
200	0.1068719222
201	0.1066766797
202	0.106327272
203	0.1057101822
204	0.1051934426
205	0.1049829941
206	0.104868606
207	0.103603262
208	0.1034248424
209	0.103315259
210	0.1022626535
211	0.1012793726
212	0.1011729175
213	0.1000150978
214	0.09946176217
215	0.09929538728
216	0.0990517747
217	0.0988934054
218	0.09825161902
219	0.09770380748
220	0.0976002233
221	0.09689406226
222	0.09630796517
223	0.09620710671
224	0.09600762712
225	0.09556355158
226	0.09532449946
227	0.0952274491
228	0.09507752757
229	0.09490568803
230	0.09395121534
231	0.09337864788
232	0.09328634938
233	0.09240871181
234	0.09193224434
235	0.09184409053
236	0.09137115397
237	0.09128618127
238	0.09114858821
239	0.09071136988
240	0.0906292945
241	0.0904232613
242	0.09027594669
243	0.09013707986
244	0.08832707239
245	0.08775664327
246	0.08767524108
247	0.0870334019
248	0.08655736343
249	0.0864809243
250	0.0859062581
251	0.08511943405
252	0.08447339079
253	0.08438702553
254	0.08417547488
255	0.08380944881
256	0.08373405246
257	0.08361514348
258	0.08354248606
259	0.08347188117
260	0.08229681607
261	0.08160709519
262	0.08117423934
263	0.08110489502
264	0.08063079029
265	0.08012243248
266	0.08005345116
267	0.07994361694
268	0.07987769793
269	0.07933504746
270	0.07926911525
271	0.07892027511
272	0.07881519277
273	0.07871117959
274	0.07801743282
275	0.0777787107
276	0.07771350447
